                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1934,                0.57555,                0.98317,                 1.3674,                0.54869,                 1.0078,                0.83031,                0.76395,                0.82532,                0.31836,                 2.0515,                  0.901,                  1.345,                 2.1597,                0.86724,                 1.3933,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1837,                0.58431,                0.98623,                  1.355,                0.58018,                 1.0103,                0.79983,                0.80601,                0.79746,                0.30309,                  2.068,                 0.8943,                 1.3553,                 2.1455,                 0.7926,                 1.4021,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1903,                0.56522,                0.97898,                 1.3609,                 0.5425,                 1.0026,                 0.8005,                0.77253,                0.77367,                0.28574,                 2.0819,                0.89926,                 1.3821,                 2.1398,                0.84232,                 1.4184,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.182,                0.56739,                0.97957,                 1.3541,                0.54221,                 1.0033,                0.80037,                0.80873,                0.80026,                0.30198,                 2.0667,                0.89558,                 1.3855,                 2.1416,                0.81533,                 1.4024,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1576,                0.55677,                0.96898,                 1.3294,                0.52275,                 0.9928,                 0.8203,                0.80323,                0.82966,                0.30718,                 2.1027,                0.89347,                  1.394,                 2.1542,                0.81199,                  1.412,               0.000614,               0.000614,               0.000614
                     73,                 1.1602,                0.55242,                 0.9679,                 1.3377,                0.52391,                 0.9933,                 0.8147,                 0.7897,                0.80401,                0.29306,                 2.1038,                0.91746,                 1.3896,                 2.1574,                0.95106,                 1.4231,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1677,                0.55916,                0.97352,                 1.3417,                0.53651,                0.99825,                0.77789,                0.79667,                0.78852,                0.29114,                 2.0981,                0.95888,                 1.3777,                 2.1641,                0.97892,                 1.4102,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.155,                 0.5529,                0.97332,                 1.3216,                0.52767,                0.99617,                0.79503,                0.79904,                0.81037,                0.29439,                 2.0888,                0.89999,                 1.3745,                 2.1691,                0.88117,                 1.4354,              0.0005546,              0.0005546,              0.0005546
                     76,                   1.14,                0.54343,                0.96564,                  1.309,                0.51619,                0.99193,                0.81687,                0.78326,                0.81383,                0.29183,                 2.1056,                0.93108,                 1.3797,                 2.1878,                0.93625,                 1.4381,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1436,                0.54512,                0.96335,                 1.3214,                0.51786,                0.98852,                0.81857,                 0.8133,                0.80685,                0.29658,                 2.1189,                0.88516,                 1.3908,                 2.1625,                0.84893,                  1.429,               0.000515,               0.000515,               0.000515
                     78,                  1.137,                0.54129,                0.95978,                 1.3118,                0.51823,                0.98472,                0.78291,                0.78939,                0.78121,                0.28569,                 2.1846,                 0.9008,                 1.4284,                 2.2145,                0.93771,                 1.4451,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1236,                0.53147,                 0.9541,                 1.2968,                 0.4991,                0.97741,                0.81887,                0.79551,                0.81201,                0.29922,                 2.1108,                0.88594,                  1.385,                 2.1532,                0.91777,                   1.41,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1176,                0.53638,                0.95693,                 1.2895,                0.51412,                0.98164,                0.80988,                0.81974,                0.80947,                0.29584,                 2.1138,                0.90536,                 1.3609,                 2.1768,                 0.9571,                 1.4099,              0.0004556,              0.0004556,              0.0004556
